vehicle ID,pixel location x,pixel location y,Pixel width,Pixel length
4753,1800.5,1813,46,89
4755,1951.05,1740.08,47,93
4758,1859.54,1542.41,46,76
4761,1939.58,1457.93,44,71
4763,1853.38,1267.05,38,65
4764,1808.45,1164.06,34,53
4766,1909.9,1077.4,41,64
4767,1850,1054,31,55
4770,1804.5,931,26,45
206,1906.15,900.311,39,65
4773,1844.4,743.7,32,40
4778,1797,658,25,35
4780,1886.5,540.5,24,32
4782,1797.5,425.5,16,22
4785,1835.17,363.146,19,25
2220,1819.15,210.279,17,22
18117,1958,1367,40,39
4753,1801,1796,47,89
4755,1951.41,1725.91,50,93
4758,1859.77,1529.14,44,73
4761,1936.27,1446.7,40,72
4763,1853,1256.5,35,62
4764,1808.92,1153.15,35,53
4766,1909.39,1068.7,42,63
4767,1849.95,1045.93,35,57
4770,1804.61,922.595,30,47
206,1905.74,893.347,39,65
4773,1844.5,738,26,35
4778,1797,651.5,25,36
4780,1886,536.5,23,32
4782,1798.38,422.012,25,29
4785,1834.5,358.5,16,20
2220,1819,208,15,19
18117,1958,1368,40,39
5396,1877.5,2018.5,52,112
4753,1801.5,1778,46,87
4755,1950.48,1710.38,50,92
4758,1859.42,1516.45,42,72
4761,1935.76,1434.29,39,71
4763,1853.08,1245.86,41,65
4764,1809,1142.54,33,54
4766,1908.6,1059.98,46,65
4767,1849.64,1037.34,36,56
4770,1804.5,913.5,26,44
206,1905.48,886.036,38,63
4773,1844.68,733.513,44,44
4778,1796.5,645.5,26,36
4780,1887.08,531.214,27,35
4782,1799.08,417.066,23,28
4785,1834.72,353.777,18,23
2220,1818.75,203.864,19,23
18117,1958,1368,40,39
5396,1877.22,1998.39,59,114
4753,1802,1761.5,47,86
4755,1949.23,1696.89,47,91
4758,1858.56,1504.37,46,74
4761,1937.79,1422.87,45,71
4763,1852.97,1236.13,41,65
4764,1809,1132.5,29,52
4766,1908.13,1052.1,41,63
4767,1849.5,1028.5,30,54
4770,1804,905,25,45
206,1905.33,879.31,42,66
4773,1845.75,727.75,41,41
4778,1798,638.5,23,34
4780,1886.5,527.5,24,32
4782,1798.92,413.375,24,27
4785,1834.35,348.79,17,22
2220,1818.5,201,14,19
18117,1953,1368,40,39
5396,1876.94,1979.4,57,114
4753,1802,1745.02,51,87
4755,1948.28,1682.4,47,90
4758,1858.44,1492.04,44,73
4761,1934.33,1411.24,38,69
4763,1853.05,1226.09,41,65
4764,1808.84,1121.56,35,52
4766,1909.23,1043.48,39,60
4767,1850.02,1019.48,35,56
4770,1804.17,897.069,29,46
206,1904.66,872.38,37,62
4773,1845.25,721.75,42,43
4778,1797,632,25,35
4780,1886,522.5,23,32
4782,1798.74,408.704,25,29
4785,1834,344,15,21
2220,1818.5,198,14,19
18117,1953,1368,40,39
5396,1877.75,1959.4,59,112
4753,1801.7,1728.45,50,86
4755,1947.5,1668.44,48,90
4758,1857.95,1479.74,43,71
4761,1933.57,1400.13,38,69
4763,1852.14,1216.56,39,63
4764,1808.33,1112.01,36,51
4766,1907.69,1035.49,39,60
4767,1849.8,1011.44,35,56
4770,1803.5,888.5,26,44
206,1904.52,865.26,38,63
4773,1843.5,713,24,35
4778,1798.09,625.984,31,37
4780,1885.15,518.36,25,34
4782,1797,403,17,21
4785,1834.31,340.113,17,23
2220,1817.71,194.985,16,21
18117,1953,1368,40,39
5396,1877.4,1940.3,62,112
4753,1802.74,1711.97,56,87
4755,1948.64,1654.75,50,89
4758,1857.84,1467.61,42,70
4761,1933.66,1388.36,38,68
4763,1852.13,1206.52,37,62
4764,1809.47,1101.94,36,51
4766,1908.95,1027.52,41,60
4767,1849.42,1002.9,34,55
4770,1804.05,881.052,29,47
206,1904.29,858.93,38,64
4773,1844,707.5,23,34
4778,1798.78,619.203,29,37
4780,1884.5,513.5,22,32
4782,1798.6,399.8,24,29
4785,1834.5,335.5,14,20
2220,1817.34,192.239,17,21
18117,1953,1368,40,39
5396,1875.82,1921.89,58,110
4753,1801.75,1695.03,53,85
4755,1946.67,1640.94,48,87
4758,1856.79,1456.03,41,69
4761,1932.19,1376.58,38,66
4763,1851.5,1196.5,34,58
4764,1809,1091.5,31,48
4766,1907.76,1018.9,39,59
4767,1848.5,994,30,51
4770,1803.82,872.519,29,46
206,1903.62,851.766,37,62
4773,1844.95,702.761,39,41
4778,1798.77,613.346,30,38
4780,1884.5,509,22,31
4782,1799.05,395.697,25,28
4785,1833.5,330.5,14,20
2220,1817.5,188.5,14,20
18117,1952,1368,40,39
5396,1875.44,1901.92,58,108
4753,1801.5,1680.5,44,82
4755,1946.24,1627.23,51,88
4758,1856.52,1444,40,69
4761,1931.35,1366.05,38,67
4763,1852.05,1187.35,41,63
4764,1808.71,1081.51,32,50
4766,1906.93,1011.93,39,61
4767,1848,986,31,51
4770,1803.56,864.429,28,44
206,1903.18,844.979,39,63
4773,1844.92,696.858,39,41
4778,1798.54,607.192,30,37
4780,1883.5,505,22,31
4782,1797.5,389.5,16,20
4785,1833.8,326.209,18,22
2220,1816.58,185.047,18,21
18117,1952,1368,40,39
5396,1874.84,1883.78,56,106
4753,1801.85,1665.59,55,86
4755,1946.53,1614.08,54,87
4758,1856.62,1432.53,42,70
4761,1930.34,1354.52,38,66
4763,1851.66,1177.31,40,61
4764,1808.43,1071.14,32,49
4766,1907.69,1003.4,41,60
4767,1848,977.5,31,52
4770,1803,857,25,43
206,1902.97,838.471,37,62
4773,1842.86,690.48,41,40
4778,1798.47,601.226,28,36
4780,1883.5,500.5,22,32
4782,1798.8,386.4,24,28
4785,1834,321.5,15,20
2220,1816.75,182.142,18,23
18117,1952,1369,40,39
5396,1874.94,1864.66,57,104
4753,1802.09,1649.04,45,83
4755,1945.52,1600.53,54,86
4758,1856.7,1420.74,42,69
4761,1931.03,1343.34,37,65
4763,1851,1168,33,57
4764,1808.94,1061.53,31,48
4766,1907.25,995.75,41,60
4767,1848,969.5,31,50
4770,1803.53,849.001,28,45
206,1903.1,831.312,39,62
4773,1843.08,683.023,27,37
4778,1798.8,595.1,28,36
4780,1883,496,21,31
4782,1799.36,382.168,24,27
4785,1834,316.5,15,20
2220,1815.96,179.22,16,21
18117,1952,1369,40,39
5396,1875.92,1847.68,59,104
4753,1803.39,1633.99,44,81
4755,1945.77,1587.65,52,85
4758,1856.29,1409.58,44,70
4761,1930.14,1333.2,37,65
4763,1851.54,1158,40,61
4764,1809,1052.5,27,48
4766,1907.59,987.327,41,59
4767,1848.5,961.448,34,53
4770,1803.72,840.586,28,44
206,1903.01,824.635,37,60
4773,1842.38,676.923,32,39
4778,1799.57,588.595,28,36
4780,1883.13,492.173,25,33
4782,1798.5,376.5,16,20
4785,1834,313,15,19
2220,1816.4,175.7,17,21
18117,1952,1369,40,39
5396,1875.09,1829,55,101
4753,1803.53,1617.93,44,81
4755,1943.87,1574.26,51,84
